id,book_title,book_author,book_genre,book_year,book_publisher,collection_name,collection_rank,book_star,vote_up,vote_down,image_link,amazon_link,goodreads,mega_download,torrent_download,post_text
877,The David Sedaris Box Set,David Sedaris,Humor,2015,Grand Central Publishing ,Comedy,,,,,https://images-na.ssl-images-amazon.com/images/I/51%2BSlbrE9UL.jpg,https://www.amazon.com/Ultimate-David-Sedaris-Box-Set/dp/1594836345/ref=sr_1_1?s=books&ie=UTF8&qid=1538887768&sr=8-1&keywords=The+David+Sedaris+Box+Set+David+Sedaris,https://www.goodreads.com/book/show/4141.David_Sedaris_14_CD_Boxed_Set,,,
886,Use of Weapons: ,Iain M. Banks,Science Fiction,1990,Hachette Audio UK,Science Fiction,83,,,,https://images-na.ssl-images-amazon.com/images/I/51J98VeNL2L._SX342_.jpg,https://www.amazon.com/Use-Weapons-Culture-Book-3/dp/B007RJR8KW/ref=sr_1_1?ie=UTF8&qid=1536744415&sr=1-1&keywords=Use+of+Weapons+Iain+M+Banks,https://www.goodreads.com/book/show/12007.Use_of_Weapons,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!qnBzlCQT,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
889,Jurassic Park: A Novel,Michael Crichton,Science Fiction,1990,Brilliance Audio,Science Fiction,32,4,1,,https://images-na.ssl-images-amazon.com/images/I/51SGayK3RuL._SX342_.jpg,https://www.amazon.com/Unknown-Jurassic-Park-A-Novel/dp/B00U7TZZRM/?tag=audiobookre03-20,https://www.goodreads.com/book/show/229069.Jurassic_Park,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!bqYDxaiQ,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,"Michael Crichton uses the word, ""crazily"" at             least half a dozen times in this book. That is weird, but lets get             on with the review...<br>             <br>             I don't know how many times I will need to be taught the lesson that             the book is always better than the movie but I hope this is the last             time. I have made this mistake in the past, of putting off reading a             book just because it is too popular. Like an idiot I assumed that             between my having seen Jurassic Park, 3 times (!) in theaters I had             nothing to gain from reading the pop SciFi prose of Mr. Crichton.<br>             <br>             But enough on what an idiot I am for ignoring this now SciFi classic             and on to this amazing fucking book. I loved nearly every page, not             to say it was not pandering and dumbed down to the point of sounding             silly in places, e.g. using chaos theory to predicts what will             happen in a particular situation seems silly. A good portion of the             book is devoted to how mathematician, Malcolm, predicted the fall of             the Park because Chaos theory shows that we can not control complex             systems. But that is dumb really, and I hate to say, but this is             exactly the type of silliness I think I was trying to avoid all             these years. Truth be told, while reading I let it all slid because             Mr. Crichton is just that good, to be able to feed us line after             line of scientific mombo-jumbo and leave even us real scientist             begging for more.<br>             <br>             A great book for anyone, even 25+ years on it really still sounds             very modern. I have not been reading many novels but am glad I made             the time for this classic. I am not going to run out looking for my             next Crichton fix, but will certainly try and stay more open minded             about ""popular"" books in the future."
901,The Uplift War,David Brin,Science Fiction,1987,Recorded Books,Science Fiction,99,,,,https://images-na.ssl-images-amazon.com/images/I/515OGTwzxKL._SX342_.jpg,https://www.amazon.com/Uplift-War-Saga-Book/dp/B0017182SS/ref=sr_1_1?ie=UTF8&qid=1536744430&sr=1-1&keywords=The+Uplift+War+David+Brin,https://www.goodreads.com/book/show/234489.The_Uplift_War,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!G2J1WKST,magnet:?xt=urn:btih:66f33a84a7320bcdb896feab93936fe73f73868d&dn=The+Top+100+Sci-Fi+Audiobooks+++%281-25%29&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Fzer0day.ch%3A1337&tr=udp%3A%2F%2Fopen.demonii.com%3A1337&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Fexodus.desync.com%3A6969,
904,Sapiens,Yuval Noah Harari,Non-Fiction,2015,Random House Audiobooks,Non-Fiction,56,5,32,,/covers/51rU6P6XbSL._SX342_.jpg,https://www.amazon.com/Random-House-AudioBooks-Sapiens/dp/B00VXJQ88K/?tag=audiobookre03-20,https://www.goodreads.com/book/show/23692271-sapiens,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!mnpVhSZL,magnet:?xt=urn:btih:e2557c05271c94eca243ebce505920ba01ec33f4&dn=Sapiens%20A%20Brief%20History%20of%20Humankind%20-%20Yuval%20Noah%20Harari&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969&tr=udp%3A%2F%2Ftracker.leechers-paradise.org%3A6969&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce&tr=udp%3A%2F%2Ftracker.open-internet.nl%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A69691337%2Fannounce&tr=udp%3A%2F%2Ftracker.vanitycore.co%3A6969%2Fannounce&tr=http%3A%2F%2Ftracker.baravik.org%3A6970%2Fannounce&tr=http%3A%2F%2Fretracker.telecom.by%3A80%2Fannounce&tr=http%3A%2F%2Ftracker.vanitycore.co%3A6969%2Fannounce,"If you wanted to know everything there is             to know about Human Beings, you might imagine it would take multiple             lifetimes of diligent study and a dedicated research team helping             you, not to mention the mind of a genius. All you would really need             though would be this book! Yuval Harari, the author, tops himself             again and again in every chapter as he masterfully weaves us though             the age of Man, starting with the earliest periods when dozens of             different Human-like animals reluctantly shared the Earth. <br>             <br>             More than anything, I love how he narrates human sentiment through             the ages. Why did it take so many millennia for man to start using             tools, building structures, using money. Most titillating, what made             the sapiens the ones to eventually win out over the many other             species. Essentially, we read, modern man was especially good at             working together in extraordinarily large groups under shared             delusions to slaughter competitors or game en masse. While             Neanderthals would have had a maximum group size of a few hundred             and a hunting party of much fewer H. sapiens could go to battle in             the thousands all fighting for the same ""god"". Presumably this is             what gives us our ability to congregate peacefully around an idea             such as religion, but also use that shared idea to encourage hatred             for a shared enemy. This gives us religion, good memories, big             brains, color vision, war, ability to innovate, trade...<br>             &nbsp;&nbsp; <br>             Sapiens is a book better than I could have imagined books being. An             objective take of our species is exactly what I have always wanted.             So much of this book, taken out of context, could be taboo but in             this undertaking of understanding humanity for what it is, Harari is             free to explore the best and worst of what makes us H. sapiens, like             it or not."
907,A Higher Loyalty,James Comey,History & Politics,2018,Macmillan Digital Audio ,Trump,15,,3,,https://images-na.ssl-images-amazon.com/images/I/51Rj9qZClXL._SX342_.jpg,https://www.amazon.com/A-Higher-Loyalty/dp/B07BFGVQ4R/?tag=audiobookre03-20,https://www.goodreads.com/book/show/39941531-summary-of-a-higher-loyalty-by-james-comey,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!z3BB1ABY,,
910,Present at the Creation: The Story of CERN and the Large Hadron Collider,Amir D. Aczel,Science & Technology,2010,Random House Audio,Physics,14,,,,https://images-na.ssl-images-amazon.com/images/I/51F58MP%2BzTL._SX342_.jpg,https://www.amazon.com/Present-Creation-Story-Hadron-Collider/dp/B0045XSWNA/ref=sr_1_1?ie=UTF8&qid=1536840849&sr=1-1&keywords=Present+at+the+Creation+Amir+D.+Aczel,https://www.goodreads.com/book/show/7948956-present-at-the-creation,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!3nRnFCSQ,,
913,The City and the Stars ,Arthur C Clark,Science Fiction,2001,Gollancz ,Science Fiction,66,,,,https://images-na.ssl-images-amazon.com/images/I/410HCq037ML._SY346_.jpg,https://www.amazon.com/City-Stars-Arthur-Clarke-Collection-ebook/dp/B07H192PF6/ref=sr_1_1?keywords=The+City+and+the+Stars&qid=1570399746&s=books&sr=1-1,https://www.goodreads.com/book/show/250024.The_City_and_the_Stars,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!muRBjYrb,,
919,Scrum,Jeff Sutherland,Non-Fiction,2014,Random House Audio,,,,3,,/covers/51N9XkgX1dL._SX342_.jpg,https://www.amazon.com/Unknown-Scrum/dp/B00NHZ6PPE/?tag=audiobookre03-20,https://www.goodreads.com/book/show/19288230-scrum,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!6upXkaSJ,,
922,Romeo & Juliet,William Shakespeare,Classic Literature ,2014,Simon & Schuster Audio,William Shakespeare,5,,,,https://images-na.ssl-images-amazon.com/images/I/61QSIK8FcOL._SX342_.jpg,https://www.amazon.com/Romeo-Juliet-Fully-Dramatized-Audio/dp/B00L4B6J8Q/ref=sr_1_1?ie=UTF8&qid=1538887742&sr=1-1&keywords=Romeo+and+Juliet++William+Shakespeare,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,https://mega.nz/#F!yvoQTKCL!cHzM6YY3JU3b65OzxecnmA!arBxSYZD,,
